set_id,round,engine,model,input_sku1,input_sku2,input_sku3,Y2_top1_brand,Y2_top1_subtype,Y2_top1_price,Y1_top1_brand_mentioned,Y1_top1_price_mentioned,rank2_brand,rank2_subtype,rank2_price,Y1_top2_brand_mentioned,Y1_top2_price_mentioned,rank3_brand,rank3_subtype,rank3_price,Y1_top3_brand_mentioned,Y1_top3_price_mentioned,Y3_numeric_count,Y3_numeric_density,Y4_safety_kw,Y4_skin_type_kw,Y4_total,response_chars,cost_usd,response_excerpt
main_00141,round1,anthropic,claude-haiku-4-5-20251001,에뛰드,에뛰드,아페리레,에뛰드,foam,12000,N,Y,에뛰드,foam,9000.0,N,Y,아페리레,foam,24000.0,N,Y,3,0.97,9,2,11,308,0.00167,"# 추천 순위

1. **제품 1** - 센텔라·시카·판테놀로 민감한 피부를 진정시키면서 당김 없는 클렌징이 가능하고, 12,000원의 합리적 가격대가 가성비를 중시하는 성향과 정확히 부합합니다.

2. **제품 2** - 가장 저렴한 9,000원 가격으로 부담 없이 시도할 수 있지만, 쌀 성분만으로는 민감성 피부 진정에 제품 1보다 효과가 떨어질 수 있습니다.

3. **제품 3** - AHA 성분은 각질 제거에 효과적이지만 민감성 피부에 자극을 줄 수 있으며, 24,000원의 높은 가격대에 비해 클렌징 후 당김 정보와 진정 성분"
main_00141,round1,openai,gpt-5.4-mini,에뛰드,에뛰드,아페리레,에뛰드,foam,12000,N,N,에뛰드,foam,9000.0,N,Y,아페리레,foam,24000.0,N,N,1,0.41,10,3,13,246,0.001062,"1. 제품 1 - 센텔라·시카·판테놀 성분이라 민감한 복합성 피부에 가장 무난하고, 자극 후 진정과 세안 후 당김 완화 기대가 커서 우선 추천해요.
2. 제품 2 - 9,000원으로 가성비는 좋지만 모공 타겟과 rice 성분만으로는 민감성 피부에 대한 진정·보습 장점이 제품 1보다 약해요.
3. 제품 3 - 평점과 리뷰는 좋지만 AHA 성분은 자극 가능성이 있어 환경 자극에 약하고 세안 후 당김을 싫어하는 페르소나에는 우선순위가 낮아요."
main_00149,round1,anthropic,claude-haiku-4-5-20251001,스킨푸드,나인위시스,스킨푸드,스킨푸드,foam,12700,N,N,스킨푸드,foam,16000.0,N,N,나인위시스,foam,15400.0,N,N,0,0.0,9,2,11,248,0.001477,"# 추천 순위

1. **제품 3** - 복합성 피부 타겟에 진정 성분(티트리, 프로폴리스)으로 당김 완화되며 가장 저렴한 가성비를 제공합니다.

2. **제품 1** - 풍부한 진정·보습 성분(녹차, 펩타이드, 프로폴리스)으로 민감한 피부 자극 최소화가 가능하지만 제품 3보다 비용이 높습니다.

3. **제품 2** - AHA 함유로 각질 제거 효과는 있으나 민감성 피부에는 자극이 될 수 있어 환경 자극에 약한 페르소나에겐 부담스럽습니다."
main_00149,round1,openai,gpt-5.4-mini,스킨푸드,나인위시스,스킨푸드,스킨푸드,foam,16000,N,N,스킨푸드,foam,12700.0,N,N,나인위시스,foam,15400.0,N,N,0,0.0,7,7,14,276,0.001224,"1. 제품 1 - 녹차·프로폴리스·티트리·펩타이드로 비교적 밸런스가 좋고, 모공/각질 케어를 원하면서도 제품 2보다 AHA 자극 부담이 적어 민감·복합성 피부에 더 무난합니다.
2. 제품 3 - 가격이 가장 가성비 좋고 지성·복합성·모공·각질 타겟이 잘 맞지만, 성분 구성이 제품 1보다 단순해서 민감피부 관점의 안정감은 조금 덜합니다.
3. 제품 2 - AHA는 트러블/각질 케어에는 좋지만 클렌징 후 당김이나 자극 가능성이 있어 환경 자극에 약한 민감성·복합성 피부에는 우선순위가 낮습니다."
main_00329,round1,anthropic,claude-haiku-4-5-20251001,스킨푸드,리얼베리어,스킨푸드,스킨푸드,foam,16000,N,N,리얼베리어,foam,16900.0,N,N,스킨푸드,foam,11000.0,N,N,0,0.0,8,3,11,256,0.00156,"1. **제품 3** - 세라마이드와 판테놀로 클렌징 후 당김을 최소화하면서 민감성·복합성 피부에 필요한 7가지 유효성분으로 트러블 케어까지 가능한 최고의 가성비 선택.

2. **제품 2** - 화장품 인증으로 안정성이 입증되었고 민감성 피부 타게팅에 최적화되어 있으나, 용량 대비 가격이 다소 높은 편.

3. **제품 1** - 가장 저렴하지만 유효성분이 4가지로 제한적이고 보습 성분 부재로 환경 자극에 약한 피부에서 클렌징 후 당김이 발생할 가능성."
main_00329,round1,openai,gpt-5.4-mini,스킨푸드,리얼베리어,스킨푸드,리얼베리어,foam,16900,N,Y,스킨푸드,foam,16000.0,N,N,스킨푸드,foam,11000.0,N,N,2,0.75,8,4,12,266,0.001208,"1. **제품 2** - 민감성·복합성·여드름성까지 폭넓게 맞고, 200ml에 16,900원으로 가성비도 괜찮아 자극을 줄이면서 무난하게 쓰기 좋습니다.  
2. **제품 3** - 세라마이드·판테놀·병풀 계열이 함께 있어 세정 후 당김 완화에 가장 유리하지만, 비타민C·티트리 등 자극 가능 성분이 많아 2순위입니다.  
3. **제품 1** - 판테놀은 좋지만 민감성 타겟이 아니고, 트러블·각질 중심이라 페르소나의 “클렌징 후 당김 적음” 우선순위에는 가장 덜 맞습니다."
main_00358,round1,anthropic,claude-haiku-4-5-20251001,일리윤,일리윤,일루미엘,일루미엘,foam,10000,N,Y,일리윤,oil,18900.0,N,Y,일리윤,foam,33600.0,N,Y,3,1.05,5,4,9,287,0.0016,"1. **제품 3** - 10,000원의 합리적 가격에 99개 리뷰로 검증된 안정성과 5.0 평점, 민감성 피부를 위한 쑥 성분이 페르소나의 가성비와 피부 안정성 우선순위에 최적.

2. **제품 2** - 18,900원의 저가격대에 세라마이드와 프로바이오틱으로 클렌징 후 당김을 완화할 수 있으며, AHA/BHA로 복합성 피부의 모공 관리도 가능.

3. **제품 1** - 33,600원의 상대적 고가격에 리뷰 데이터 부족으로 검증성이 낮고, 폼 타입으로 민감성 피부에 자극을 줄 가능성이 높아 선택도가 낮음."
main_00358,round1,openai,gpt-5.4-mini,일리윤,일리윤,일루미엘,일리윤,foam,33600,N,N,일리윤,oil,18900.0,N,N,일루미엘,foam,10000.0,N,N,0,0.0,5,4,9,259,0.001053,"1. **제품 1** - 세라마이드·프로바이오틱스로 **세정 후 당김을 줄이고 피부장벽 케어에 유리**한 편이라 민감성·복합성 피부에 가장 무난합니다.  
2. **제품 2** - AHA/BHA가 들어 있어 **트러블·모공 관리에는 좋지만 오일 타입+산 성분으로 자극 가능성**이 있어 1위보단 덜 적합합니다.  
3. **제품 3** - 가격과 리뷰 수는 좋지만 **AHA가 있고 타겟 피부 정보가 없어 민감성 피부에 대한 확신이 낮아** 우선순위가 떨어집니다."
main_00488,round1,anthropic,claude-haiku-4-5-20251001,스킨푸드,아누아,스킨푸드,아누아,balm,19200,N,N,스킨푸드,foam,11000.0,N,N,스킨푸드,foam,12700.0,N,N,0,0.0,6,1,7,219,0.001414,"1. **제품 2** - 세라마이드·히알루론산·니아신아마이드 등 민감성 피부 진정·보습 성분이 풍부하고 5.0 평점으로 당김 없는 사용감이 검증되었습니다.

2. **제품 3** - 녹차·프로폴리스·티트리 진정 성분으로 환경 자극 완화에 효과적이면서 가장 저렴한 가격대입니다.

3. **제품 1** - 프로폴리스·티트리 성분은 좋으나 평점·리뷰 정보 부족으로 제품 신뢰도 검증이 어렵습니다."
main_00488,round1,openai,gpt-5.4-mini,스킨푸드,아누아,스킨푸드,아누아,balm,19200,N,N,스킨푸드,foam,11000.0,N,N,스킨푸드,foam,12700.0,N,N,0,0.0,4,5,9,267,0.001145,"1. 제품 2 - 밤 타입이라 민감한 피부에 비교적 순한 클렌징이 기대되고, 세라마이드·히알루론산 성분으로 세안 후 당김 완화에 유리해 페르소나와 가장 잘 맞습니다.
2. 제품 3 - 프로폴리스·티트리·녹차 조합으로 복합성/모공 관리에 좋고 가격도 가장 저렴하지만, 폼 타입이라 제품 2보다 건조감 가능성이 있습니다.
3. 제품 1 - 지성·모공·각질 타겟에 무난하고 가성비는 좋지만, 민감성·당김 최소화 관점에서는 제품 3과 크게 다르지 않으면서 특별히 보완 성분이 적습니다."
main_00753,round1,anthropic,claude-haiku-4-5-20251001,아누아,아누아,더마겐,아누아,foam,14000,N,Y,아누아,oil,33000.0,N,Y,더마겐,foam,24000.0,N,N,2,0.74,7,5,12,272,0.001585,"1. **제품 1** - 가성비(14,000원)와 성능의 균형이 우수하며, 세라마이드·히알루론산 등 민감성 피부 진정 성분이 풍부해 당김 없는 클렌징이 가능합니다.

2. **제품 2** - 유효성분이 제품 1과 동일하고 리뷰 수(2,783건)가 많아 신뢰도가 높지만, 33,000원대 가격이 페르소나의 선호 가격대를 벗어납니다.

3. **제품 3** - AHA 단일 성분만 함유되어 있어 민감성·복합성 피부에는 자극적일 수 있으며, 지성·여드름 타겟이라 당김 문제 해결에 부족합니다."
