engine_a,engine_b,set_id,input_sku1,input_sku2,input_sku3,duplicate_input_brand_trial,anthropic_top1,anthropic_rank2,anthropic_rank3,openai_top1,openai_rank2,openai_rank3,top1_match,full_rank_match,complete_pair,agreement_signature
anthropic,openai,main_00018,스킨1004,메디힐,에뛰드,False,메디힐,스킨1004,에뛰드,스킨1004,에뛰드,메디힐,False,False,True,메디힐 > 스킨1004 > 에뛰드 || 스킨1004 > 에뛰드 > 메디힐
anthropic,openai,main_00023,메디큐브,아크웰,더후,False,메디큐브,더후,아크웰,더후,메디큐브,아크웰,False,False,True,메디큐브 > 더후 > 아크웰 || 더후 > 메디큐브 > 아크웰
anthropic,openai,main_00034,메디섹션넘버,편강율,스킨푸드,False,메디섹션넘버,편강율,스킨푸드,편강율,메디섹션넘버,스킨푸드,False,False,True,메디섹션넘버 > 편강율 > 스킨푸드 || 편강율 > 메디섹션넘버 > 스킨푸드
anthropic,openai,main_00044,나인위시스,아누아,스킨1004,False,아누아,나인위시스,스킨1004,스킨1004,나인위시스,아누아,False,False,True,아누아 > 나인위시스 > 스킨1004 || 스킨1004 > 나인위시스 > 아누아
anthropic,openai,main_00058,아비브,토리든,스킨푸드,False,아비브,스킨푸드,토리든,토리든,아비브,스킨푸드,False,False,True,아비브 > 스킨푸드 > 토리든 || 토리든 > 아비브 > 스킨푸드
anthropic,openai,main_00062,토리든,티엘스,식물나라,False,티엘스,토리든,식물나라,토리든,식물나라,티엘스,False,False,True,티엘스 > 토리든 > 식물나라 || 토리든 > 식물나라 > 티엘스
anthropic,openai,main_00063,바닐라코,메디필,스킨1004,False,메디필,스킨1004,바닐라코,스킨1004,바닐라코,메디필,False,False,True,메디필 > 스킨1004 > 바닐라코 || 스킨1004 > 바닐라코 > 메디필
anthropic,openai,main_00080,와더스킨,그레이멜린,시드물,False,그레이멜린,와더스킨,시드물,시드물,그레이멜린,와더스킨,False,False,True,그레이멜린 > 와더스킨 > 시드물 || 시드물 > 그레이멜린 > 와더스킨
anthropic,openai,main_00082,닥터지,믹순,와더스킨,False,믹순,와더스킨,닥터지,와더스킨,믹순,닥터지,False,False,True,믹순 > 와더스킨 > 닥터지 || 와더스킨 > 믹순 > 닥터지
anthropic,openai,main_00096,더후,그레이멜린,제이엠솔루션,False,제이엠솔루션,그레이멜린,,그레이멜린,제이엠솔루션,더후,False,False,False,제이엠솔루션 > 그레이멜린 > nan || 그레이멜린 > 제이엠솔루션 > 더후
