set_id,round,engine,model,input_sku1,input_sku2,input_sku3,Y2_top1_brand,Y2_top1_subtype,Y2_top1_price,Y1_top1_brand_mentioned,Y1_top1_price_mentioned,rank2_brand,rank2_subtype,rank2_price,Y1_top2_brand_mentioned,Y1_top2_price_mentioned,rank3_brand,rank3_subtype,rank3_price,Y1_top3_brand_mentioned,Y1_top3_price_mentioned,Y3_numeric_count,Y3_numeric_density,Y4_safety_kw,Y4_skin_type_kw,Y4_total,response_chars,cost_usd,response_excerpt
main_02398,round1,openai,gpt-5.4-mini,에뛰드,테라비코스,스킨바리스타,에뛰드,foam,12000,N,N,스킨바리스타,foam,23000.0,N,N,테라비코스,gel,14000.0,N,N,1,0.35,8,2,10,284,0.001171,"1. 제품 1 - 센텔라·시카·판테놀이 들어간 폼 타입이라 민감성 피부 진정과 세정력의 균형이 좋아 보이고, 가격도 1만 원대로 가장 가성비가 좋습니다.  
2. 제품 3 - 500ml 대용량에 2만 원대 초반이라 가성비가 매우 뛰어나고 평점도 높지만, 성분 정보가 단순해 민감·당김 케어 측면은 제품 1보다 덜 확실합니다.  
3. 제품 2 - AHA가 있어 각질·모공에는 도움이 될 수 있지만, 환경 자극에 약하고 클렌징 후 당김을 싫어하는 페르소나에는 자극 가능성이 상대적으로 있어 우선순위가 낮습니다."
main_00154,round1,openai,gpt-5.4-mini,메디큐브,비플레인,은율,비플레인,foam,10500,N,N,은율,foam,12800.0,N,N,메디큐브,foam,17500.0,N,N,1,0.41,10,4,14,246,0.001076,"1. 2 - 세라마이드·시카·히알루론산 조합이라 민감성 피부의 당김/자극 완화에 가장 유리하고, 여드름성·모공 케어까지 맞아 페르소나에 가장 잘 맞아요.
2. 3 - 판테놀로 진정감은 기대할 수 있고 500ml 대용량이라 가성비가 매우 좋지만, 핵심 보습/장벽 성분 구성이 제품 2보다 단순해요.
3. 1 - 평점과 리뷰 수는 좋지만 AHA가 들어 있어 민감성·환경 자극에 약한 피부엔 세안 후 자극이나 당김 가능성이 상대적으로 더 있어요."
main_01658,round1,anthropic,claude-haiku-4-5-20251001,숨37,달바,헉슬리,달바,foam,28000,N,Y,헉슬리,foam,25000.0,N,Y,숨37,foam,72000.0,N,Y,3,1.02,4,1,5,295,0.001559,"1. **제품 2** - 28,000원의 합리적 가격대에 ceramide·panthenol로 클렌징 후 당김을 완화하고, 민감성 피부를 위한 4개 화장품 인증으로 신뢰도가 높습니다.

2. **제품 3** - 25,000원으로 가성비가 우수하고 46개의 높은 평점 리뷰로 실제 만족도가 검증되었으나, 유효성분 미공개로 예측 불가능한 점이 아쉽습니다.

3. **제품 1** - 우수한 peptide 성분과 5.0 평점이 매력적이지만, 72,000원의 높은 가격대와 제품 정보 부족으로 페르소나의 가성비 우선순위와 맞지 않습니다."
main_00154,round1,anthropic,claude-haiku-4-5-20251001,메디큐브,비플레인,은율,메디큐브,foam,17500,N,N,비플레인,foam,10500.0,N,Y,은율,foam,12800.0,N,N,1,0.35,3,1,4,283,0.001614,"# 클렌징 제품 추천 순위

1. **제품 1** - 민감성 피부에 필수인 시카와 당김 완화에 도움되는 콜라겐이 함유되어 있으면서도 4,891건의 높은 신뢰도 평점(4.8)으로 검증된 제품입니다.

2. **제품 2** - 세라마이드와 히알루론산으로 클렌징 후 건조함을 최소화할 수 있고, 10,500원의 가장 합리적인 가격대로 매일 사용하기에 부담이 없습니다.

3. **제품 3** - 판테놀 단일 성분으로 자극 최소화는 가능하지만, 리뷰 수(5건)가 극히 적어 제품의 신뢰성과 효과 검증이 부족합니다."
main_02398,round1,anthropic,claude-haiku-4-5-20251001,에뛰드,테라비코스,스킨바리스타,테라비코스,gel,14000,N,N,에뛰드,foam,12000.0,N,Y,스킨바리스타,foam,23000.0,N,N,3,1.12,9,3,12,268,0.001538,"# 페르소나 맞춤형 추천

1. **제품 2** - 민감성 피부 진정(시카, 히알루론산)과 트러블 개선을 동시에 하며 4.8점 높은 평점으로 신뢰도가 높고 가성비도 우수함.

2. **제품 1** - 센텔라·시카·판테놀로 자극받은 피부 회복에 최적화되었고 12,000원의 저가로 민감성 피부 케어를 경제적으로 시작하기 좋음.

3. **제품 3** - 가장 높은 평점(5.0)과 대용량(500ml)으로 장기 사용 시 가성비가 좋지만 유효성분이 단순하고 민감성 진정 성분이 부족함."
main_01661,round1,openai,gpt-5.4-mini,닥터지,베네투스,에스트라,에스트라,foam,-1,Y,N,베네투스,foam,23000.0,Y,N,닥터지,foam,1000.0,Y,N,0,0.0,5,3,8,264,0.001165,"1. **3** - 에스트라는 **민감성·복합성·수부지까지 폭넓게 맞는 타입**이고, 자극에 예민한 페르소나와 가장 잘 맞는 균형형 클렌저로 보입니다.  
2. **2** - 베네투스는 **판테놀·프로폴리스·허니**로 비교적 순하고 보습감 기대가 있어 **클렌징 후 당김을 줄이기 좋은 선택**입니다.  
3. **1** - 닥터지는 **BHA·레티놀** 등 기능성 성분이 많아 여드름/각질엔 좋을 수 있지만, **민감한 피부엔 자극 가능성이 커서** 우선순위가 낮습니다."
main_01661,round1,anthropic,claude-haiku-4-5-20251001,닥터지,베네투스,에스트라,베네투스,foam,23000,N,N,에스트라,foam,-1.0,N,N,닥터지,foam,1000.0,N,N,1,0.35,4,2,6,282,0.001678,"1. **제품 2** - 5.0 평점과 138개 리뷰로 신뢰도가 높고, 꿀과 프로폴리스 성분이 민감한 피부에 순하면서도 클렌징 후 당김을 최소화할 가능성이 높습니다.

2. **제품 3** - 복합성·민감성 피부를 명시적으로 타겟하고 있으며, PHA(약산성 필링)와 쌀 성분으로 순한 각질제거가 가능해 환경 자극에 약한 피부에 적합합니다.

3. **제품 1** - BHA·레티놀 등 강한 활성 성분의 과다 함유로 민감한 피부에 자극을 줄 수 있으며, 가격대비 성능 검증(평점·리뷰 부재)이 불명확합니다."
main_02402,round1,openai,gpt-5.4-mini,이아소,스킨푸드,믹순,이아소,foam,2500,N,N,믹순,foam,18000.0,N,N,스킨푸드,foam,16000.0,N,N,0,0.0,6,3,9,247,0.001058,"1. 제품 1 - 민감성 피부 타겟에 가격이 압도적으로 저렴해 가성비는 최고지만, 클레이 성분은 건조·당김을 유발할 수 있어 1위로는 보수적으로 추천합니다.  
2. 제품 3 - 여드름·트러블용으로 성능과 리뷰 신뢰도는 가장 좋아 보이지만 AHA/BHA가 있어 민감한 피부엔 자극 가능성이 있어 2위입니다.  
3. 제품 2 - 그린티·프로폴리스 등 무난한 편이지만 민감성 타겟이 아니고 후기/인증 정보도 없어 상대적으로 우선순위가 낮습니다."
main_02402,round1,anthropic,claude-haiku-4-5-20251001,이아소,스킨푸드,믹순,믹순,foam,18000,N,Y,스킨푸드,foam,16000.0,N,Y,이아소,foam,2500.0,N,Y,3,1.02,6,2,8,295,0.001666,"1. **제품 3** - 민감성 피부에도 안전한 화장품 인증을 받았으면서 높은 평점(4.8)과 많은 리뷰(1,341개)로 신뢰도가 높고, 18,000원은 성능 대비 합리적인 가격대입니다.

2. **제품 2** - 녹차, 프로폴리스 등 진정 성분과 펩타이드로 클렌징 후 당김을 완화할 수 있으며, 16,000원의 중간 가격대로 가성비를 고려했습니다.

3. **제품 1** - 극저가(2,500원)로 가성비는 최고이지만, 클린뷰티 클레임만 있고 화장품 인증이 없으며 평점 정보 부재로 민감성 피부 맞춤도와 효과 검증도 낮습니다."
main_01664,round1,openai,gpt-5.4-mini,에뛰드,이니스프리,김소형풀,에뛰드,foam,12000,N,N,이니스프리,foam,1000.0,N,N,김소형풀,unknown,64000.0,N,N,0,0.0,5,4,9,271,0.001156,"1. 제품 1 - 센텔라·시카·판테놀 성분으로 민감한 복합성 피부에 비교적 순하고, 1만 원대라 가성비도 좋아 가장 무난합니다.
2. 제품 2 - 평점과 리뷰 수가 압도적으로 높고 복합성·트러블 피부 타겟이라 실사용 만족도는 높아 보이지만, BHA가 있어 예민하고 당김을 싫어하는 피부엔 자극 가능성이 있습니다.
3. 제품 3 - AHA가 들어 있어 각질 케어에는 좋을 수 있지만 가격이 높고 타겟이 주로 각질·주름이라 현재 페르소나의 민감성·복합성 클렌징용으로는 우선순위가 낮습니다."
